ohsáwagyeˀ	'it is beginning'	[o-hsáw-a-gy-e-ˀ]	it.o-begin-joinerA-progressive-go-stative
ętsáhsawęˀ	'you will begin'	[ę-t-s-áhsaw-ęˀ]	future-cislocative-you(one).a-begin-punctual
otsihsˀǫ̲hǫ́:gyeˀ	'it is getting mature'	[o-t-hs-ihsˀ-ǫ̲h-ǫ́:-gy-e-ˀ]	it.o-semireflexive-noun-finish-stative-joinerA-progressive-go-stative
otsíhsˀǫh	'it is done for the season', 'it has gone full cycle', 'it is mature', 'they (plants) have finished out'	[o-t-hs-íhsˀ-ǫh]	it.o-semireflexive-noun-finish-stative
hayę́twagwahs	'he is harvesting'	[ha-yę́tw-a-gw-a-hs]	he.a-plant-joinerA-reversive-joinerA-habitual
hayę́:twahs	'he is planting'	[ha-yę́:tw-a-hs]	he.a-plant-joinerA-habitual
ahayętwá:goˀ	'he did harvest'	[a-ha-yętw-á:-go-ˀ]	factual-he.a-plant-joinerA-reversive-punctual
aháyętoˀ	'he did plant'	[a-há-yęto-ˀ]	factual-he.a-plant-punctual
hoyę́twagwęh	'he harvested it'	[ho-yę́tw-a-gw-ęh]	he.o-plant-joinerA-reversive-stative
hoyę́:twęh	'he planted it'	[ho-yę́:tw-ęh]	he.o-plant-stative
sasatrǫnyáhsih	'get undressed again'	[sa-s-at-hrǫny-á-hsi-h]	repetitive-you(one).a-semireflexive-dress-joinerA-reversive-pronunciation.h
sasa:trǫ́:nih	'get dressed again'	[sa-s-a:t-hrǫ́:ni-h]	repetitive-you(one).a-semireflexive-dress-pronunciation.h
it,	'my having seen it'	[ag-é:-gę-:]	I.o-joinerE-see-stative
aˀé:yǫˀ	‘she arrived’	[aˀ-é:-yǫ-ˀ]	factual-she.a-arrive-punctual
ęga:dé:gaˀt	‘I will start a fire’	[ę-g-a:dé:g-a-ˀt-ø]	future-I.a-burn-joinerA-causative-ø.punctual
ęhségawe:ˀ	‘you will row’	[ę-hs-é-gawe-:ˀ]	future-you(one).a-joinerE-paddle-punctual
sagawe̲há:gyeˀ	‘you are paddling along’	[sa-gawe̲-h-á:-gy-e-ˀ]	you(one).o-paddle-pronunciation.h-joinerA-progressive-go-stative
agadǫ̲hswéˀdanih	‘I am hungry’	[ag-ad-ǫ̲hswéˀd-a-ni-h]	I.o-semireflexive-hunger-joinerA-benefactive-habitual
ogé:draˀ	‘it is green, unripe’; ‘raw fruit’	[o-gé:draˀ]	it.o-unripe.stative
agǫ́:nihs	‘she makes it into something’; ‘she earns it’	[ag-ǫ́:ni-hs]	she.o-make-habitual
okahs	‘it leaks’	[o-ka-hs]	it.o-leak-habitual
swatgę́nihsˀahs	‘you have meetings all the time’	[sw-at-gę́nihsˀ-a-hs]	you(all).a-semireflexive-meet-joinerA-habitual
hehahé:haˀ	‘he places it there all the time’	[he-ha-hré:-haˀ]	translocative-he.a-place-habitual
deknége̲haˀ	‘I do not drink any more’	[de-k-hnége̲-haˀ]	dualic-I.a-drink-habitual
gadáhnyoˀs	‘I fish continually’	[g-ad-áhny-o-ˀs]	I.a-semireflexive-hook-submerge-habitual
ehyádǫ̲haˀ	‘she is a writer or secretary’	[e-hyádǫ̲-haˀ]	she.a-write-habitual
shagóhse̲hthaˀ	‘he is a robber, stealer’	[shagó-hse̲ht-haˀ]	he:them-hide-habitual
hatgéhǫhaˀ	‘he is an auctioneer, a seller’	[h-at-géhǫ-haˀ]	he.a-semireflexive-sell-habitual
gagrahs	‘it stinks’, ‘it is strong-smelling’	[ga-gra-hs]	it.a-stink-habitual
agáhdrǫhs	‘I amfrightened of it'	[ag-áhdrǫ-hs]	I.o-frighten-habitual
kehswáhęhs	‘I hate her'	[ke-hswáhę-hs]	i:her-hate-habitual
gadejiˀóhgyaˀs	‘I am cutting my nails'	[g-ade-jiˀóh-gyak-ˀs]	I.a-semireflexive-nail-cut-habitual
ehé:yǫhs	‘she is dying, on her deathbed'	[e-hé:yǫ-hs]	she.a-die-habitual
segé:tsgwahs	‘you are lifting it to a vertical position’; ‘you give parties'	[s-e-gé:tsgw-a-hs]	you(one).a-joinerE-raise.to.vertical-joinerA-habitual
gragé:wahs	‘I am erasing or wiping it'	[g-ragé:w-a-hs]	I.a-wipe-joinerA-habitual
satgáhǫhaˀ	‘you are paying attention, watching right now'	[s-at-gáhǫ-haˀ]	you(one).a-semireflexive-watch-habitual
tgyahsǫ́haˀ	‘I call them’; ‘I am a bingo caller'	[t-g-yahsǫ́-haˀ]	cislocative-I.a-call-habitual
ga̲ˀníkǫ̲haˀ	‘sewing machine’	[ga̲-ˀníkǫ̲-haˀ]	it.a-sew-habitual
eˀní:kǫhs	‘seamstress’	[e-ˀní:kǫ-hs]	she.a-sew-habitual
Ǫdada̲hnyóhaˀ	‘Fishing Dance’	[ǫdada̲-hnyó-haˀ]	they:them-fish-habitual
gadáhnyoˀs	‘I fish continually’	[g-ad-áhnyo-ˀs]	I.a-semireflexive-fish-habitual
hadáhnyoˀ	‘he is a fisherman’	[ha-d-áhnyo-ˀ]	he.a-semireflexive-fish-habitual
hęnáda̲hnyoh	‘they are fishing’	[hęn-ád-a̲hnyo-h]	they(males)-semireflexive-fish-habitual
gotowinyǫ́ˀse:	‘she has a cold’	[go-t-howinyǫ́ˀse:]	she.o-have.a.cold.stative
de̲howę:sǫ:	‘he has shoes on’	[de̲-ho-wę́:sǫ:]	dualic-he.o-be.shod.stative
ó:gęt	‘it is visible'	[ó:-gęt]	it.o-visible.stative
niyohá:kˀah	‘it is short'	[ni-yo-há:kˀah]	partitive-it.o-short.stative
ohóˀdę:ˀ	‘it is soft'	[o-hóˀdę:ˀ]	it.o-soft.stative
ohní:yǫh	‘it is hard'	[o-hní:y-ǫh]	it.o-hard-stative
agatganǫ́:ni:	‘I amwealthy'	[ag-at-ganǫ́:ni-:]	I.o-semireflexive-wealthy-stative
agatsenǫ́:ni:	‘I amhappy'	[ag-at-hsenǫ́:ni-:]	I.o-semireflexive-happy-stative
gadręnagáˀǫh	‘it is sweet-smelling (food odours)'	[ga-dręn-a-gáˀ-ǫh]	it.a-smell-joinerA-sweet-stative
gadręnahshá:sdeˀ	‘it is strong-smelling'	[ga-dręn-a-hshá:sdeˀ]	it.a-smell-joinerA-strong.stative
ga̲hǫ́ˀji:	‘it is dark'	[ga̲-hǫ́ˀji:]	it.a-dark.stative
knę́:ye:s	‘I amtall'	[k-hnę́:y-e:s]	I.a-stature-long.stative
niknę́:yaˀ	‘I amshort'	[ni-k-hnę́:y-aˀ]	partitive-I.a-stature-short.stative
syadǫ̲hsráędiˀ	‘you are smart (educated)'	[s-yadǫ̲hsrá-ędiˀ]	you(one).a-paper-know.stative
otgiˀ	‘it is dirty’	[o-tgi-ˀ]	it.o-dirty-stative
ohstéhsdǫh	‘it has evaporated'	[o-hstéhsd-ǫh]	it.o-dry.up-stative
owa:nóhsdǫh	‘it got cold (weather)'	[o-wa:-nóhsd-ǫh]	it.o-air-get.cold-stative
hehó:gyǫ:	‘he has thrown it'	[he-hó:-gy-ǫ:]	translocative-he.o-semireflexive-throw-stative
de̲hóyętwęh	‘he did not plant'	[de̲-hó-yętw-ęh]	dualic-he.o-plant-stative
agekwędáˀǫh	‘I have finished eating'	[ag-e-kw-ędáˀ-ǫh]	I.o-joinerE-food-finish-stative
hewagadę́nye̲hdǫh	‘I sent it'	[he-wag-adę́-nye̲hd-ǫh]	translocative-I.o-semireflexive-send-stative
agatǫdę́ˀǫh	‘I’ve heard it before'	[ag-at-hǫdę́ˀ-ǫh]	I.o-semireflexive-hear-stative
wadeˀnyędę́hsdǫh	'the act of measuring'	[wa-d-e-ˀnyędę́hsd-ǫh]	it.a-semireflexive-joinerE-cause.to.measure-stative
watwihsdǫnyáˀdǫh	'profit, investment'	[wa-t-hwihsd-ǫnyáˀd-ǫh]	it.a-semireflexive-money-cause.to.make-stative
wa̲hyá:gwęh	‘picked fruit’	[wa̲-hy-á:-gw-ęh]	it.a-fruit-joinerA-pick-stative
swagahshaˀdrǫ́:nyǫh	‘I amrecalling, remembering'	[s-wag-ahshaˀdr-ǫ́:-ny-ǫh]	repetitive-I.o-remember-joinerA-pluralizer-stative
odáˀgra̲hdǫh	‘it is floating'	[o-d-áˀgra̲hd-ǫh]	it.o-semireflexive-float-stative
dęya:wę́:dǫh	‘it sways'	[d-ę-ya:w-ę́:d-ǫh]	dualic-future-it.o-sway-stative
sadędonyáˀdǫh	‘you are joking, making fun of something'	[s-adę-donyáˀd-ǫh]	you(one).o-semireflexive-make.fun.of-stative
deyagotgrę́grę̲hdǫh	‘she is frowning'	[de-yago-t-grę́grę̲hd-ǫh]	dualic-she.o-semireflexive-wrinkle.up-stative
agenya̲ˀgwáhǫh	‘I am vomiting (right now)'	[ag-e-nya̲ˀgw-á-h-ǫh]	I.o-joinerE-vomit-joinerA-dislocative-stative
sęnǫ́hdǫnyǫh	‘you are wondering, thinking'	[s-ęnǫ́hdǫny-ǫh]	you(one).o-wonder-stative
gyagogyęhę́:twęh	‘she is pulling it'	[g-yago-g-yęhę́:tw-ęh]	cislocative-she.o-semireflexive-pull-stative
desaˀnigǫhaˀdó:gęh	‘you cannot decide which way to go, you are flighty'	[de-sa-ˀnigǫh-a-dó:g-ęh]	negative-you(one).o-mind-joinerA-true-stative
agídaˀǫh	‘I was asleep’; ‘I amsleeping'	[ag-ídaˀ-ǫh]	I.o-sleep-stative
saihwa̲ˀné:gęh	‘you are praying’; ‘you have prayed'	[sa-rihw-a̲-ˀné:g-ęh]	you(one).o-matter-joinerA-pray-stative
desęna̲ˀsgwáhgwęh	‘you have jumped’; ‘you are jumping?'	[de-s-ę-na̲ˀsgw-á-hgw-ęh]	dualic-you(one).o-semireflexive-bouncy.surface-joinerA-lift-stative
hodáˀǫh	'yesterday he did sleep’; 	[te:dę́:ˀ] ‘yesterday’ [ho-dáˀ-ǫh]	he.o-sleep-stative;
hodáˀǫh	'he is sleeping right now’;	[o:nę́h] ‘now’ [ho-dáˀ-ǫh]	he.o-sleep-stative;
wa̲hyá:gwęh	'picked fruit'	[w-a̲hy-á:-gw-ęh]	it.a-fruit-joinerE-pick-stative
wadę́nhaˀǫh	'it is chartered, hired'	[w-adę́-nhaˀ-ǫh]	it.a-semireflexive-hire-stative
wagyǫ:	'something thrown away; discards'	[w-agyǫ-:]	it.a-throw-stative
degágwatwęh	'a hem'	[de-gá-gwatw-ęh]	dualic-it.a-hem-stative
gáohǫ:ˀ	'the act of gathering'	[gá-oh-ǫ-:-ˀ]	it.a-gather-stative-nominalizer-nsf
gayaˀdowéhdǫ:ˀ	'the idea of thinking'	[ga-yaˀdowéhd-ǫ-:-ˀ]	it.a-think.about-stative-nominalizer-nsf
atǫ:dę́ˀǫ:ˀ	'the act of hearing'	[at-hǫ:dę́-ǫ-:-ˀ]	ø.prefix-semireflexive-hear-stative-nominalizer-nsf
adówadǫ:ˀ	'the hunt'	[ad-ówad-ǫ-:-ˀ]	ø.prefix-semireflexive-hunt-stative-nominalizer-nsf
onǫhsodáiyǫ:ˀ	'sickness, illness'	[o-nǫhsod-á-iy-ǫ-:-ˀ]	it.o-sickness-verb-stative-nominalizer-nsf
ǫgyaˀditgę́hsǫ:ˀ	'nightmares'	[ǫ-g-yaˀd-itgę́-hs-ǫ-:-ˀ]	someone-semireflexive-body-rise-pluralizer-stative-nominalizer-nsf
aˀéganyaˀk	‘she paid’	[aˀ-e-ganyaˀg-ø]	factual-she.a-pay-ø.punctual
gagánya̲ˀgǫh	‘payment’	[ga-ga-nya̲ˀg-ǫh]	it.a-price-pay-stative
hękrih	‘I will pour’	[h-ę-k-hrih-ø]	translocative-future-I.a-pour-ø-punctual
gahíhǫh	‘it is spilled’	[ga-hríh-ǫh]	it.a-spill-stative
há:ge:	‘Just maybe I should go there. ’	[toh] there [giˀ] just [shęh] that [h-á:-g-e:]	there-indefinite-I.a-go-no.aspect
gęh.	‘Tell me if/whether you are coming with us.’	[daskro:wíh] you.tell.me  [ę-dw-e:]	future-we.all-go-no.aspect
ę́:dwe:ˀ	‘we will go together’	[ę́:-dw-e:-ˀ]	future-we.all.inclusive.a-go-punctual
a:yáihe:	‘She did not care that she was going to her death.’	[tęˀ] not [dejǫhsdí:s] she.did not.pay.attention [o:nę́h] now [gyę:gwáˀ] if [a:-ya-ihe:]	indefinite-she.a-die-no.aspect
ęgíhe:ˀ	‘I will die’	[ę-g-ihe:-ˀ]	future-I.a-die-punctual
hadowahsgę́hę:ˀ	'he used to be a hunter'	[ha-d-owad-hs-gę́hę:ˀ]	he.a-semireflexive-hunt-past
hadó:wa:s	'he is a hunter'	[ha-d-ó:wa:d-s]	he.a-semireflexive-hunt-habitual
hahdóhsgę̲hę:ˀ	'he used to dive'	[ha-hdó-hs-gę̲hę:ˀ]	he.a-dive-past
hahdo:s	'he dives’, ‘he is a diver'	[ha-hdo:-s]	he.a-dive-habitual
sahtgaˀwa̲hsgę́hę:ˀ	'you used to let go, you used to give up'	[s-ahtgaˀw-a̲-hs-gę́hę:ˀ]	you(one).a-release-joinerA-past
sahtgaˀs	'you forfeit, you let go of things all the time'	[s-ahtgaˀ-s]	you(one).a-release-habitual
sadǫhwidáˀthahk	'you used to swing (long ago)'	[s-ad-ǫhwidáˀt-ha-hk]	you(one).a-semireflexive-swing-habitual-former
sadǫhwidáˀtaˀ	'you swing (all the time); you are a swinger'	[s-ad-ǫhwidáˀt-haˀ]	you(one).a-semireflexive-swing-habitual
gohsóˀkhahk	'she used to limp'	[go-hsóˀk-ha-hk]	she.o-limp-habitual-former
go̲hsóˀkaˀ	'she is limping'	[go̲-hsóˀk-haˀ]	she.o-limp-habitual
hahsgyáǫhahk	'he used to walk quickly'	[ha-hsgyáǫ-ha-hk]	he.a-walk.quickly-habitual-former
hahsgyáǫhaˀ	'he walks quickly', 'he gives someone encouragement'	[ha-hsgyáǫ-haˀ]	he.a-walk.quickly-habitual
desahsǫhdré:hahk	'you used to join things together, put it together'	[de-s-ahsǫhdré:-ha-hk]	dualic-you(one).a-join-habitual-former
desahsǫdré:haˀ	'you join things together all the time’; ‘you do puzzles'	[de-s-ahsǫdré:-haˀ]	dualic-you(one).a-join-habitual
ǫdrę́nothahk	'she used to sing'	[ǫ-d-rę́n-ot-ha-hk]	she.a-semireflexive-song-stand-habitual-former
gaǫdręnó:taˀ	'they (f/m) are singers'	[gaǫ-d-ręn-ó:t-haˀ]	they(fe/males).a-semireflexive-song-stand-habitual
dędwadadrihwanǫ́hkwa:k	'we all will show respect for one another'	[d-ę-dw-adad-rihw-a-nǫ́hkw-ha-:k]	dualic-future-we.all.inclusive.a-reflexive-matter-joinerA-love-habitual-modalizer
ęwadę̲hníˀdoˀkta:k	'every month will end'	[ę-w-ad-ę̲hníˀd-oˀkt-ha-:k]	future-it.a-semireflexive-month-end-habitual-modalizer
hewádoˀktaˀ	'it ends over there'	[he-w-ád-oˀkt-haˀ]	translocative-it.a-semireflexive-end-habitual
ęhsáhsoˀka:k	'you will limp'	[ę-hs-áhsoˀk-ha-:k]	future-you(one).o-limp-habitual-modalizer
go̲hsóˀkaˀ	'she is limping'	[go̲-hsóˀk-haˀ]	she.o-limp-habitual
gǫnǫ́hkwaˀ	'I love you'	[gǫ-nǫ́hkw-haˀ]	i:you-love-habitual
ęhswagáęse:k	'you all will be willing'	[ę-hswa-gáę-s-e:k]	future-you(all).o-willing-habitual-modalizer
sagáęs	'you are willing'	[sa-gáę-s]	you(one).o-willing-habitual
tsǫ:	'just let him keep planting'	[a:-ha-yętw-a̲-hs-é:k]	indefinite-he.a-plant-joinerA-habitual-modalizer
hayę́:twahs	'he is a planter'	[ha-yę́:tw-a-hs]	he.a-plant-joinerA-habitual
dęhatganyáhse:k	'he will be desperate'	[d-ę-ha-t-gany-á-hs-e:k]	dualic-future-he.a-semireflexive-want.desperately-joinerA-habitual-modalizer
a:ga̲hyágwa̲hse:k	'I might be a fruit picker (not very definite)'	[a:-g-a̲hy-á-gw-a̲-hs-e:k]	indefinite-I.a-fruit-joinerA-pick-joinerA-habitual-modalizer
ga̲hyá:gwahs	'I am picking fruit'	[g-a̲hy-á:-gw-a-hs]	I.a-fruit-joinerA-pick-joinerA-habitual
agahyagwę́hne:ˀ	'I've done picking fruit'	[ag-ahy-a-gw-ę́-hne:ˀ]	I.o-fruit-joinerA-pick-stative-remote
agáhyagwęh	'I have picked fruit (farther in the past)’	[ag-áhy-a-gw-ęh]	I.o-fruit-joinerA-pick-stative
ga̲hyá:gwahs	'I ama fruit picker'	[g-a̲hy-á:-gw-a-hs]	I.o-fruit-joinerA-pick-joinerA-habitual
agekǫníhne:ˀ	'I have cooked'	[ag-e-k-ǫní-hne:ˀ]	I.o-joinerE-food-make.stative-remote
age:kǫ́:ni:	'I cooked'	[ag-e:-k-ǫ́:ni-:]	I.o-joinerE-food-make-stative
gekǫ́:nihs	'I ama cook'	[g-e-k-ǫ́:ni-hs]	I.a-joinerE-food-make-habitual
sajagǫ̲ˀǫ́hne:ˀ	'you singular have persevered'	[sa-jagǫ̲-ˀǫ́-hne:ˀ]	you(one).o-persevere-stative-remote
agejagǫ́ˀǫh	'I do persevere all the time'	[ag-e-jagǫ́-ˀǫh]	I.o-joinerE-persevere-stative
gejá:gǫhs	'I persevere all the time'	[g-e-já:gǫ-hs]	I.a-joinerE-persevere-habitual
sagahdrǫníhne:ˀ	'you used to stare all the time'	[sa-gahdr-ǫní-hne:ˀ]	you(one).o-eye-make.stative-remote
sagahdrǫ́:ni:	'you are 'nosy' with your eyes, always looking’	[sa-gahdr-ǫ́:ni-:]	you(one).p-eye-make-stative
sagahdrǫ́:nihs	'you are staring at it'	[sa-gahdr-ǫ́:ni-hs]	you(one).o-eye-make-habitual
dewagadǫhwęjóni̲hne:ˀ	'I wanted something in the past'	[de-wag-ad-ǫhwęjóni̲-hne:ˀ]	dualic-I.o-semireflexive-want.stative-remote
dewagadǫhwęjǫ́:nih	'I want something'	[de-wag-ad-ǫhwęjǫ́:ni-h]	dualic-I.o-semireflexive-want-stative
desadǫ̲hwęjǫníhsgǫ:	'you always want something'	[de-sa-d-ǫ̲hwęjǫní-hsgǫ:]	dualic-you(one).o-semireflexive-want-facilitative.habitual
eksaˀgowáhne:ˀ	'she used to be pretty'	[e-ksaˀ-gowá-hne:ˀ]	she.a-child-great.stative-remote
eksaˀgó:wah	'she is pretty'	[e-ksaˀ-gó:wah]	she.a-child-great.stative
saníˀǫhne:ˀ	'you used to be stingy of it'	[sa-ní-ˀǫ-hne:ˀ]	you(one).o-greedy-stative-remote
saníˀǫh	'you are stingy, greedy, cheap'	[sa-ní-ˀǫh]	you(one).o-greedy-stative
gonadręnó:daˀk	'they f/m did sing'	[gon-ad-ręn-ó:d-a-ˀ-k]	they(fe/males).o-semireflexive-song-stand-joinerA-causative-former
hodrę́:no:t	'he is singing'	[ho-d-rę́:n-o:t]	he.o-semireflexive-song-stand.stative
gaǫdręnó:thaˀ	'they f/m are singers'	[gaǫ-d-ręn-ó:t-haˀ]	they(fe/males).a-semireflexive-song-stand-habitual
gani:yǫ́:daˀk	'it hung there, it used to hang there'	[ga-ni:yǫ́:d-a-ˀ-k]	it.a-hang.stative-joinerA-causative-former
ganí:yǫ:t	'it is hanging'	[ga-ní:yǫ:t]	it.a-hang.stative
wa̲hyaniyǫ́:thaˀ	'different or variety of hanging fruits'	[w-a̲hy-a-niyǫ́:t-haˀ]	it.a-fruit-joinerA-hang-habitual
tgáenagrehk	'they females or mixed did live there, used to live there'	[t-gáe-nagre-hk]	cislocative-they(fe/males).a-live.stative-former
tgáenagreˀ	'where they females or mixed live over there'	[t-gáe-nagre-ˀ]	cislocative-they(fe/males).a-live-stative
tgiˀdrǫ́:daˀk	'where I lived'	[t-g-iˀdrǫ́:-d-a-ˀ-k]	cislocative-I.a-live.stative-pronunciation.d-joinerA-causative-former
agadowihshę́:daˀk	'I did have a rest'	[ag-ad-owihshę́:-d-a-ˀ-k]	I.o-semireflexive-rest.stative-pronunciation.d-causative-former
agadowíshęˀ	'I have rested'	[ag-ad-owíshę-ˀ]	I.o-semireflexive-rest-stative
agawęgę́hę:ˀ	'it used to be mine'	[ni:ˀ] ‘I’ [ag-aw-ę-gę́hę:ˀ]	I.o-own-stative-past
agá:węh	'mine'	[ag-á:w-ęh]	I.o-own-stative
hó:węh	'his'	[hó:-w-ęh]	he.o-own-stative
howę́hne:ˀ	'it used to be his'	[ho-w-ę́-hne:ˀ]	he.o-own-stative-remote
hó:węh	'it is his'	[hó:-w-ęh]	he.o-own-stative
ęwaga̲hyá:gwę:k	'I will have picked fruit'	[ę-wag-a̲hy-á:-gw-ę-:k]	future-I.o-fruit-joinerA-pick-stative-modalizer
agáhyagwęh	'I have picked fruit'	[ag-áhy-a-gw-ęh]	I.o-fruit-joinerA-pick-stative
ęgáˀnikǫ:k	‘it will be sewn’	[ę-gá-ˀnikǫ-:k]	future-it.a-sew.stative-modalizer
ga̲ˀní:kǫˀ	‘a seam’	[ga̲-ˀní:kǫ-ˀ]	it.a-sew-stative
ęwagatǫ́:de:k	'I will be hearing it'	[ę-wag-atǫ́:de-:k]	future-I.o-hear.stative.modalizer
aǫdagaená:gre:k	‘they would live there’	[ǫ:da-gae-ná:gr-e-:k]	indefinite.cislocative-they(fe/males).a-live-go-modalizer
tgáenagrehk	‘they did or used to live there’	[t-gáe-nagre-hk]	cislocative-they(fe/males).a-live-go-former
ęyagodeˀnyędę́hsdǫ̲hǫ:k	‘she will be measuring things’	[ę-yago-d-e-ˀnyędę́hsd-ǫ̲h-ǫ-:k]	future-she.o-semireflexive-joinerE-measure-stative-joinerA-modalizer
wadeˀnyędę́hsdǫh	‘the act of measuring’	[w-ad-e-ˀnyędę́hsd-ǫh]	it.a-semireflexive-joinerE-measure-stative
dęgagwatwę́hę:k	‘it will be hemmed’	[d-ę-ga-gwatw-ę́h-ę-:k]	dualic-future-it.a-hem-stative-joinerA-modalizer
degágwatwęh	‘a hem’	[de-gá-gwatw-ęh]	dualic-it.a-hem-stative
ęsade̲hsrǫni̲hsˀǫ́hǫ:k	'you will be ready'	[ę-s-ad-e̲-hsrǫni̲hsˀ-ǫ́h-ǫ:k]	future-you(one).o-semireflexive-joinerE-ready-stative-modalizer
sadehsrǫníhsˀǫh	'you are ready'	[s-ad-e-hsrǫníhsˀ-ǫh]	you(one).o-semireflexive-joinerE-ready-stative
ęyagǫnhehgǫ̲hǫ:k	'they (literally, she) will live on', 'what will sustain them'	[ę-yag-ǫnhehg-ǫ̲h-ǫ-:k]	future-she.o-be.sustained-stative-joinerA-modalizer
agǫ́nhehgǫh	'someone lives on it', 'she is sustained by it'	[ag-ǫ́nhehg-ǫh]	she.o-be.sustained-stative
a:waga:tró:wi:k	'I should be talking about it'	[a:-wag-a:t-hró:wi-:-k]	indefinite-I.o-semireflexive-tell-stative-modalizer
aga:tró:wi:	'I have told'	[ag-a:t-hró:wi-:]	I.o-semireflexive-tell-stative
ęwagatrówi̲ha:k	'I will be talking about it'	[ę-wag-at-hrówi̲-h-a-:k]	future-I.o-semireflexive-tell-pronunciation.h-joinerA-modalizer
aga:tró:wi:	'I have told'	[ag-a:t-hró:wi-:]	I.o-semireflexive-tell-stative
osdagwáęsgǫ:	'it gets dirty easily'	[o-sdagw-á-ę-sgǫ:]	it.o-dirt-joinerA-lie.stative-facilitative
aˀosdagwáęh	'it got dirty, it gets dirty'	[aˀ-o-sdagw-á-ę-h]	factual-it.o-dirty-joinerA-lie-habitual
hodędǫnyáˀdǫ̲hsgǫ:	'he is a joker, or happy-go-lucky'	[ho-dę-dǫnyáˀd-ǫ̲h-sgǫ:]	he.o-semireflexive-make.fun-stative-facilitative
hodędǫnyáˀdǫh	'he is making fun of something'	[ho-dę-dǫnyáˀd-ǫh]	he.o-semireflexive-make.fun-stative
sadahǫdǫ́sgǫ:	'you are inquisitive’	[s-ad-ahǫdǫ́-sgǫ:]	you(one).a-semireflexive-ask-habitual.facilitative
sadahǫ́:dǫ:	'you ask'	[s-ad-ahǫ́:dǫ:]	you(one).a-semireflexive-ask-no.aspect
ohsdáhaˀge:	'it is really crying'	[o-hsdá-haˀ-ge:]	it.o-cry-habitual-augmentative
ga̲hsdá:haˀ	'I amcrying'	[g-a̲hsdá:-haˀ]	I.a-cry-habitual
ęhsa:tgwé:niˀ	'you will win'	[ę-hs-a:t-gwé:ni-ˀ]	future-you(one).a-semireflexive-compete-punctual
ganǫ́hsotge:	'it is a standing big house'	[ga-nǫ́hs-ot-ge:]	it.a-house-stand.stative-augmentative
ganǫ́hso:t	'it is a standing house'	[ga-nǫ́hs-o:t]	it.a-house-stand.stative
í:geˀ	'I am walking, moving'	[í:-g-e-ˀ]	prothetic-I.a-go-aspect
hǫwáhnǫdreˀ	'someone is following him'	[hǫwá-hnǫdr-e-ˀ]	they:him-follow-go-aspect
agékdǫ̲hneˀ	'I amgoing to see it'	[agé-kdǫ̲-hn-e-ˀ]	I.o-examine-dislocative-go-aspect
hǫwahnǫdrá:gyeˀ	'someone is following him along'	[hǫwa-hnǫdr-á:gy-e-ˀ]	they:him-follow-progressive-go-aspect
haˀgeˀ	‘I amgoing there’	[haˀ-g-e-ˀ]	translocative(there)-I.a-go-aspect
iheˀs	'he is here'	[i-h-e-ˀs]	prothetic-he.a-go-habitual
ęhsne:ˀ	'you two will go together'	[ę-hsn-e-:-ˀ]	future-you(two).a-go-purposive-punctual
í:geˀ	'I am walking, moving'	[í:-g-e-ˀ]	prothetic-I.a-go-stative
dagę́:neˀ	'they (z) are coming'	[da-gę́:n-e-ˀ]	cislocative-they(animals)/objects.a-go-stative
itseˀs	'you wander (all the time); you are over there'	[ę:] side [tsǫ:] just [i-t-s-e-ˀs]	prothetic-cislocative-you(one).a-go-habitual
ętseˀ	'you will wander'	[ę:] side [tsǫ:] just [ę-t-s-e-ˀ]	future-cislocative-you(one).a-go-punctual
itseˀ	'you are wandering (right now)'	[ę:] side [tsǫ:] just [i-t-s-e-ˀ]	prothetic-cislocative-you(one).a-go-stative
nǫdá:ge:ˀ	'I come from; I came from'	[nǫdá:-g-e-:-ˀ]	partitive.cislocative-I.a-go-purposive-punctual
naˀdę́:tge:ˀ	'I will come back over here, return'	[naˀdę́:t-g-e-:-ˀ]	partitive.dualic.future.cislocative-I.a-go-purposive-punctual
ihsgeˀs	'I have returned home'	[i-hs-g-e-ˀs]	prothetic-repetitive-I.a-go-habitual
ihsgeˀ	'I amgoing back, I amon my way back; I amback (from where I came)'	[i-hs-g-e-ˀ]	prothetic-repetitive-I.a-go-stative
haˀge:ˀ	'I went there'	[haˀ-g-e-:-ˀ]	translocative.factual-I.a-go-purposive-punctual
haˀgeˀ	'I am going (there)'	[haˀ-g-e-:-ˀ]	translocative.factual-I.a-go-punctual
hęhsge:ˀ	'I am going back there'	[hęhs-g-e-:-ˀ]	translocative.future.repetitive-I.a-go-purposive-punctual
iheˀs	'he is here’	[i-h-e-ˀs]	prothetic-he.a-go-habitual
itseˀs	'you wander’ (all the time); ‘you are over there’	[ę:] side [tsǫ:] just [i-t-s-e-ˀs]	prothetic-cislocative-you(one).a-go-habitual
gę́:neˀs	'they (z) are around’; ‘they are here’; ‘they are together’	[gę́:n-e-ˀs]	they(animals)/objects.a-go-habitual
tgę́:neˀs	'they (z) are over there’	[t-gę́:n-e-ˀs]	cislocative-they(animals)/objects.a-go-habitual
itgeˀs	'I amhere’	[i-t-g-e-ˀs]	prothetic-cislocative-I.a-go-habitual
heheˀs	'he is there’	[he-h-e-ˀs]	translocative-he.a-go-habitual
isgeˀs	'I have returned home’	[i-s-g-e-ˀs]	prothetic-repetitive-I.a-go-habitual
tigáęˀs	'they (f/m) are roaming about’	[ti-gáę-ˀs]	contrastive-they(f/m).go-habitual
